subject,s1.act,t
6,1,0
6,1,0
6,2,0
6,2,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,0
6,2,1
6,2,0
6,1,0
6,2,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,0
6,2,1
6,1,0
6,2,1
6,2,1
6,2,0
6,2,1
6,2,0
6,2,0
6,1,1
6,1,0
6,2,1
6,2,0
6,2,1
6,2,1
6,2,1
6,2,1
6,2,0
6,2,1
6,2,0
6,2,1
6,2,1
6,2,0
6,2,0
6,1,0
6,2,1
6,2,1
6,2,1
6,2,0
6,2,1
6,2,0
6,2,1
6,2,1
6,2,0
6,2,1
6,2,1
6,2,1
6,2,0
6,1,1
6,1,1
6,1,1
6,1,1
6,1,0
6,1,0
6,1,1
6,1,0
6,2,1
6,2,0
6,2,0
6,1,0
6,1,1
6,1,1
6,1,1
6,1,0
6,2,0
6,2,1
6,2,1
6,2,0
6,1,0
6,2,0
6,1,1
6,1,0
6,1,1
6,1,0
6,2,1
6,2,1
6,2,1
6,2,0
6,1,0
6,2,0
6,2,0
6,2,1
6,2,1
6,2,0
6,1,0
6,1,1
6,2,0
6,2,0
6,2,0
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,0
6,1,0
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,0
6,1,0
6,1,0
6,2,1
6,2,1
6,1,0
6,1,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,0
6,2,0
6,1,0
6,2,0
6,2,1
6,2,0
6,2,1
6,1,0
6,1,1
6,1,1
6,1,0
6,1,1
6,1,0
6,2,1
6,2,1
6,2,1
6,2,0
6,2,1
6,2,0
6,2,1
6,2,0
6,2,1
6,2,0
6,1,0
6,2,1
6,2,0
6,2,1
6,2,0
6,2,1
6,2,1
6,2,0
6,2,0
6,2,1
6,2,0
6,2,1
6,2,1
6,2,0
6,2,1
6,1,1
6,2,0
6,1,1
6,1,1
6,2,1
6,2,1
6,1,1
6,1,0
6,2,1
6,2,1
6,2,1
6,2,1
6,1,0
6,2,1
6,2,1
6,2,1
6,2,1
6,2,0
6,2,0
6,1,1
6,1,1
6,1,0
6,1,1
6,1,0
6,2,1
6,2,1
6,2,1
6,2,1
6,2,0
6,2,1
6,2,0
6,2,1
6,1,0
6,2,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,0
6,2,0
6,1,1
6,1,1
6,1,0
6,2,1
6,2,1
6,2,1
6,2,1
6,2,0
6,2,0
6,1,0
6,1,0
6,2,1
6,2,1
6,2,1
6,2,0
6,2,1
6,2,0
6,2,0
6,1,0
6,2,0
6,2,1
6,2,0
6,2,1
6,2,0
6,2,1
6,2,0
6,2,0
6,2,0
6,1,1
6,1,0
6,2,0
6,2,1
6,1,0
6,1,0
6,1,0
6,1,0
6,2,0
6,2,0
6,2,0
6,1,1
6,1,1
6,1,1
6,1,0
6,1,1
6,1,0
6,1,0
6,1,1
6,1,1
6,1,1
6,1,0
6,1,1
6,1,0
6,1,0
6,1,0
6,2,1
6,2,0
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,0
6,2,1
6,2,0
6,1,1
6,1,1
6,1,0
6,1,1
6,1,0
6,2,1
6,2,0
6,1,1
6,1,0
6,1,1
6,1,0
6,1,1
6,1,0
6,1,0
6,2,1
6,2,1
6,2,1
6,2,0
6,1,1
6,1,0
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,0
6,2,0
6,1,1
6,1,0
6,2,1
6,2,1
6,2,0
6,1,1
6,2,0
6,1,1
6,1,1
6,2,0
6,2,0
6,1,0
6,2,0
6,2,0
6,1,0
6,1,0
6,1,1
6,1,1
6,1,0
6,2,1
6,2,1
6,2,1
6,2,0
6,1,1
6,1,1
6,2,1
6,2,0
6,2,0
6,1,1
6,1,1
6,2,1
6,1,0
6,2,0
6,2,0
6,2,0
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,0
6,2,0
6,1,1
6,1,0
6,1,0
6,1,1
6,1,0
6,2,0
6,2,0
6,1,1
6,1,0
6,1,0
6,1,1
6,1,1
6,1,1
6,2,0
6,1,0
6,2,0
6,1,1
6,1,1
6,1,0
6,1,0
6,2,1
6,2,0
6,2,1
6,1,1
6,1,0
6,1,1
6,1,1
6,2,0
6,2,0
6,1,0
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,2,0
6,1,0
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,0
6,1,1
6,1,0
6,1,1
6,1,1
6,1,0
6,1,1
6,1,0
6,1,1
6,1,1
6,1,0
6,1,0
6,1,1
6,1,0
6,2,1
6,1,0
6,1,1
6,1,0
6,1,1
6,2,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,0
6,1,0
6,2,1
6,2,0
6,1,1
6,1,1
6,1,0
6,2,0
6,2,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,0
6,1,0
6,2,1
6,2,1
6,2,0
6,1,0
6,1,0
6,2,0
6,2,1
6,2,0
6,2,0
6,2,0
6,2,1
6,2,0
6,2,1
6,2,0
6,1,0
6,1,1
6,1,1
6,1,0
6,2,1
6,2,0
6,1,0
6,1,1
6,1,0
6,2,1
6,2,0
6,1,0
6,1,0
6,2,1
6,2,0
6,2,0
6,1,0
6,1,0
6,2,0
6,2,1
6,2,1
6,2,0
6,2,0
6,2,1
6,2,0
6,2,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,1
6,2,0
6,1,1
6,1,0
6,1,1
6,1,1
6,1,0
6,1,1
6,1,0
6,2,0
6,2,0
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,0
6,2,1
6,2,0
6,1,1
6,1,0
6,2,0
6,2,0
6,1,1
6,1,1
6,1,1
6,1,0
6,2,0
6,2,0
6,2,0
6,1,1
6,1,1
6,1,1
6,1,1
6,1,0
6,1,0
6,1,0
6,1,1
6,1,0
6,1,1
6,1,1
6,1,0
6,2,0
6,2,0
6,1,0
6,1,0
6,1,0
6,2,1
6,2,1
6,2,1
6,2,0
6,2,0
6,1,1
6,1,1
6,1,1
6,1,1
6,1,1
6,1,0
6,1,0
6,2,0
6,2,0
6,1,1
6,1,1
6,1,0
6,2,0
6,1,0
6,1,0
6,2,0
6,2,1
6,2,0
6,1,1
6,1,0
6,2,0
6,2,0
6,1,0
6,1,0
6,2,0
6,2,0
6,1,0
6,1,0
6,1,0
6,2,0
6,1,1
6,1,1
6,1,0
6,2,1
6,2,1
6,2,0
6,1,1
6,1,1
6,1,1
6,1,0
6,2,0
6,2,0
6,1,0
6,1,0
6,2,0
6,2,1
6,2,1
6,2,0
6,2,1
6,2,0
6,2,1
6,2,0
6,2,0
6,2,0
6,2,0
6,1,0
6,1,0
6,2,0
6,2,1
6,2,0
6,2,1
6,2,0
6,2,0
6,2,0
6,1,1
6,1,1
6,1,0
6,2,1
6,2,0
8,1,0
8,1,1
8,1,1
8,1,1
8,1,1
8,1,1
8,1,1
8,1,1
8,1,1
8,1,0
8,1,0
8,1,0
8,2,0
8,1,0
8,1,0
8,2,0
8,2,0
8,1,1
8,1,1
8,1,1
8,1,1
8,1,1
8,1,1
8,1,1
8,1,0
8,1,1
8,1,1
8,1,1
8,1,0
8,1,1
8,1,0
8,1,0
8,1,1
8,1,0
8,1,1
8,1,1
8,1,0
8,1,0
8,1,1
8,1,0
8,1,0
8,1,1
8,1,1
8,1,1
8,1,1
8,1,0
8,1,1
8,1,1
8,1,0
8,1,1
8,1,1
8,1,1
8,1,1
8,1,0
8,1,1
8,1,0
8,1,1
8,1,1
8,1,1
8,1,0
8,1,1
8,1,0
8,1,0
8,2,1
8,2,0
8,2,1
8,2,0
8,2,1
8,2,0
8,2,1
8,2,1
8,2,1
8,2,1
8,2,0
8,2,1
8,2,0
8,2,0
8,2,0
8,1,0
8,2,1
8,2,1
8,2,0
8,2,0
8,2,1
8,2,1
8,2,1
8,2,1
8,2,1
8,2,1
8,2,0
8,2,1
8,2,1
8,2,1
8,2,0
8,2,0
8,2,1
8,2,0
8,2,1
8,2,1
8,2,0
8,2,1
8,2,1
8,2,1
8,2,1
8,2,1
8,2,1
8,2,0
8,2,1
8,2,0
8,2,0
8,2,1
8,2,0
8,2,1
8,2,1
8,2,1
8,2,0
8,2,1
8,2,0
8,2,1
8,2,0
8,1,0
8,1,1
8,1,1
8,1,0
8,1,0
8,1,1
8,1,1
8,1,1
8,1,0
8,1,0
8,2,0
8,1,1
8,1,0
8,1,1
8,1,1
8,1,1
8,1,1
8,1,1
8,1,0
8,1,1
8,1,1
8,1,1
8,1,1
8,1,0
8,1,1
8,1,0
8,1,0
8,1,1
8,1,0
8,1,0
8,1,1
8,1,1
8,1,1
8,1,0
8,1,0
8,1,0
8,1,0
8,2,0
8,1,1
8,1,1
8,1,1
8,1,1
8,1,0
8,1,0
8,1,1
8,1,0
8,1,1
8,1,0
8,1,1
8,1,1
8,1,0
8,1,0
8,1,1
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,2,0
8,1,0
8,1,1
8,1,1
8,1,1
8,1,0
8,1,0
8,1,1
8,1,1
8,1,0
8,1,1
8,1,1
8,1,0
8,1,1
8,1,0
8,1,1
8,1,1
8,1,0
8,1,1
8,1,1
8,1,0
8,1,1
8,1,0
8,1,1
8,1,1
8,1,0
8,1,0
8,1,1
8,1,0
8,1,0
8,2,1
8,1,1
8,1,0
8,1,1
8,1,1
8,1,0
8,1,1
8,1,1
8,1,1
8,1,1
8,1,0
8,1,1
